timestamp,speed,throttle,brake,rpm
21-May-2025 20:13:09,255,100,0,151
21-May-2025 20:13:09,167,0,100,5
21-May-2025 20:13:09,93,0,100,77
21-May-2025 20:13:09,126,77,0,195
21-May-2025 20:13:10,220,100,0,136
21-May-2025 20:13:10,160,0,100,45
21-May-2025 20:13:10,176,100,0,207
21-May-2025 20:13:10,246,100,0,163
21-May-2025 20:13:10,236,73,100,248
21-May-2025 20:13:10,100,43,0,208
21-May-2025 20:13:10,176,100,0,39
21-May-2025 20:13:10,248,100,0,65
21-May-2025 20:13:10,255,100,0,172
21-May-2025 20:13:10,225,0,100,100
21-May-2025 20:13:11,122,74,0,30
21-May-2025 20:13:11,218,100,0,210
21-May-2025 20:13:11,255,100,0,59
21-May-2025 20:13:11,233,0,100,43
21-May-2025 20:13:11,67,0,0,61
21-May-2025 20:13:11,101,62,0,2
21-May-2025 20:13:11,198,100,0,97
21-May-2025 20:13:11,255,100,0,40
21-May-2025 20:13:11,255,100,0,185
21-May-2025 20:13:11,255,100,0,144
21-May-2025 20:13:12,255,100,0,198
21-May-2025 20:13:12,127,0,0,233
21-May-2025 20:13:12,158,94,0,72
21-May-2025 20:13:12,238,100,0,167
21-May-2025 20:13:12,255,100,0,39
